Town,1st Most Common Venue,2nd Most Common Venue,3rd Most Common Venue
Abercynon,Chinese Restaurant,Pub,Grocery Store
Aberfan,Train Station,Platform,Bowling Green
Abergavenny,Coffee Shop,Pub,Café
Abertillery,Pub,Supermarket,Gym / Fitness Center
Abertridwr,Bakery,Lighting Store,Restaurant
Aberystwyth,Pub,Bar,Coffee Shop
Amlwch,Mountain,Grocery Store,Gym Pool
Bangor,Pub,Supermarket,Café
Bargoed,Train Station,Convenience Store,Supermarket
Barmouth,Train Station,Café,Hotel
Bedwas,Pub,Discount Store,Supermarket
Benllech,Grocery Store,Beach,Pub
Bethesda,Grocery Store,Bus Station,Bed & Breakfast
Bettws,Supermarket,Train Station,Convenience Store
Blaenau Ffestiniog,Train Station,Café,Light Rail Station
Blaenavon,History Museum,Neighborhood,Scenic Lookout
Brecon,Ice Cream Shop,Theater,Bar
Broughton,Clothing Store,Pub,Supermarket
Bryn Pydew,Hotel,Fast Food Restaurant,Pub
Brynna,Golf Course,English Restaurant,Grocery Store
Builth Wells,Park,Grocery Store,Fast Food Restaurant
Burry Port,Construction & Landscaping,Golf Course,Grocery Store
Caerleon,Pub,Hotel,Golf Course
Caernarfon,Pub,Supermarket,Café
Cardigan,Pub,Campground,Stationery Store
Carmarthen,Clothing Store,Coffee Shop,English Restaurant
Chepstow,Pub,Grocery Store,Pharmacy
Cil-y-coed,Pub,Train Station,Supermarket
Coedpoeth,Chinese Restaurant,Grocery Store,Vineyard
Connah's Quay,Discount Store,Convenience Store,Fast Food Restaurant
Conwy,Pub,Hotel,Fast Food Restaurant
Cowbridge,Gastropub,Coffee Shop,Paintball Field
Creigiau,Hotel,Pub,Convenience Store
Crickhowell,Pub,Hotel,Trail
Cwm,Boat or Ferry,Grocery Store,Café
Cwmavon,Grocery Store,Construction & Landscaping,Neighborhood
Cwmfelinfach/Ynysddu,Trail,Pub,Furniture / Home Store
Denbigh,Supermarket,Discount Store,Castle
Dolgellau,Hotel,Restaurant,Grocery Store
"Ely, Cardiff",Grocery Store,Pub,Fast Food Restaurant
Ferndale,Supermarket,Convenience Store,Grocery Store
Fishguard,Boat or Ferry,Grocery Store,Café
Gilfach Goch,Grocery Store,Mountain,Bowling Alley
Gilwern,Mountain,Campground,Canal
Glanaman,Construction & Landscaping,Bar,Zoo
Glyn-neath,Grocery Store,Pub,Waterfall
Glyncoch,Pub,Pharmacy,Park
Gresford,Pub,Grocery Store,Restaurant
Gwaun-Cae-Gurwen/Brynamman,Pub,Indian Restaurant,Auto Workshop
Haverfordwest,Pub,Supermarket,Hotel
Hirwaun,Photography Lab,Grocery Store,Furniture / Home Store
Holyhead,Supermarket,Boat or Ferry,Hotel
Hope,Supermarket,Pub,Hotel
Kidwelly,Castle,Farmers Market,Coffee Shop
Kinmel Bay/Abergele,Campground,Racetrack,Supermarket
Lampeter,Supermarket,Grocery Store,Gas Station
Leeswood,Other Repair Shop,Grocery Store,Park
Llanbradach,Pub,Grocery Store,Hotel
Llandaff,Pub,Grocery Store,Indian Restaurant
Llanddulas/Mynydd Marian,Diner,Historic Site,Asian Restaurant
Llandovery,Fish & Chips Shop,Castle,Tea Room
Llandrindod Wells,Hotel,Supermarket,Organic Grocery
Llandudno,Café,Coffee Shop,Hotel
Llandybie,Gastropub,Construction & Landscaping,Train Station
Llanfair Pwllgwyngyll,Pub,Hotel,Zoo
Llanfairfechan,Waterfront,Café,Tunnel
Llangefni,Pub,Hotel,Discount Store
Llangollen,Pub,Café,Restaurant
Llanharry,Pub,Golf Course,Grocery Store
Llanhilleth,Lake,Bakery,Convenience Store
Llanidloes,Pub,Grocery Store,Convenience Store
Llanrumney,Supermarket,Furniture / Home Store,Gym / Fitness Center
Llanrwst,Café,Indian Restaurant,Bed & Breakfast
Llantrisant,Grocery Store,Clothing Store,Hotel
Llantwit Major,Racetrack,Hotel,Gastropub
Llay,Train Station,Gastropub,Pub
Machen,Trail,Gastropub,Grocery Store
Machynlleth,Pub,Convenience Store,Café
Maerdy,Grocery Store,Train Station,Pub
Marshfield,Pub,Pharmacy,Golf Course
Menai Bridge,Pub,Supermarket,Coffee Shop
Milford Haven,Supermarket,Construction & Landscaping,Harbor / Marina
Mold,Pub,Supermarket,Hotel
Monmouth,Pub,Coffee Shop,Supermarket
Mountain Ash,Train Station,Construction & Landscaping,Platform
Murton,Café,Seafood Restaurant,Airport
Narberth,Pub,Deli / Bodega,Hotel
Neath,Supermarket,Grocery Store,Fast Food Restaurant
New Tredegar,Park,Gym,Garden Center
"Newbridge, Caerphilly",Pub,Train Station,Gym
Newtown,Supermarket,Fast Food Restaurant,Pub
Neyland,Supermarket,Pub,Warehouse Store
Ogmore Vale/Nantymoel,Windmill,Indonesian Restaurant,Other Great Outdoors
Pembroke,Supermarket,English Restaurant,Warehouse Store
Pembroke Dock,Supermarket,Pub,Grocery Store
Pencoed,Grocery Store,Hotel,Golf Course
Penmaenmawr,Convenience Store,Beer Garden,Café
Pentyrch,Pub,Coffee Shop,Train Station
Penyffordd,Discount Store,Pub,Supermarket
Pontarddulais,Gastropub,Park,Cricket Ground
Pontycymer,Grocery Store,Gym,Business Service
Porthcawl,Beach,Café,Fish & Chips Shop
Porthmadog,Hotel,Café,Pub
Pwllheli,Pub,Discount Store,Supermarket
Pyle,Seafood Restaurant,Pub,Surf Spot
Radyr,Pub,Grocery Store,Coffee Shop
Resolven,Home Service,Pub,Convenience Store
Rhoose,Hotel,Pub,Gastropub
Rhuddlan,Supermarket,Hotel,Electronics Store
Rhymney,Train Station,Grocery Store,Convenience Store
Risca,Supermarket,Fast Food Restaurant,Forest
Ruthin,Discount Store,Pub,Grocery Store
Saundersfoot,Pub,Beach,Train Station
Seven Sisters,Construction & Landscaping,Campground,Zoo
Southgate,Pub,Bar,Coffee Shop
Splott,Coffee Shop,Café,Pub
St Asaph,Restaurant,Pub,Fried Chicken Joint
St Clears,Coffee Shop,Bed & Breakfast,Hotel
Talbot Green,Clothing Store,Pub,Hotel
Tanyfron,Supermarket,Grocery Store,Athletics & Sports
Tenby,Beach,Café,Pub
Tonyrefail,Grocery Store,Gym Pool,Thai Restaurant
Tredegar,Supermarket,Pub,Fast Food Restaurant
Treharris,Grocery Store,Gym / Fitness Center,Hotel
Tywyn,Train Station,Pub,Grocery Store
Undy,Pub,Soccer Field,Nature Preserve
Usk,Hotel,Gas Station,Garden Center
Valley,Beach,Hotel,Nature Preserve
Welshpool,Supermarket,Department Store,Harbor / Marina
Y Felinheli,Hotel,Brewery,Boat or Ferry
Ynysybwl,Pharmacy,Pub,Gym / Fitness Center
Ystrad Mynach,Supermarket,Breakfast Spot,Park
